Location,Deploy Date,Label,Time,Absorbance,Phosphorus
Stoney Run,6/30/21,Control 1,60,0.586,92.992
Stoney Run,6/30/21,Control 2,5,0.765,121.9761
Stoney Run,6/30/21,Control 2,10,0.771,122.9476
Stoney Run,6/30/21,Control 2,20,0.727,115.8231
Stoney Run,6/30/21,Control 2,40,0.692,110.1558
Stoney Run,6/30/21,Control 2,60,0.669,106.4316
Stoney Run,6/30/21,Control 3,5,0.909,145.2929
Stoney Run,6/30/21,Control 3,10,0.939,150.1506
Stoney Run,6/30/21,Control 3,20,0.842,134.4441
Stoney Run,6/30/21,Control 3,40,0.84,134.1203
Stoney Run,6/30/21,Control 3,60,0.753,120.033
Conley Run,6/15/21,High 1,5,0.614,96.31538
Conley Run,6/15/21,High 1,10,0.603,94.59797
Conley Run,6/15/21,High 1,20,0.536,84.13739
Conley Run,6/15/21,High 1,40,0.462,72.58392
Conley Run,6/15/21,High 1,60,0.4,62.90398
Conley Run,6/15/21,High 2,5,0.633,99.28181
Conley Run,6/15/21,High 2,10,0.734,115.0507
Conley Run,6/15/21,High 2,20,0.69,108.1811
Conley Run,6/15/21,High 2,40,0.618,96.93989
Conley Run,6/15/21,High 2,60,0.419,65.87041
Conley Run,6/15/21,High 3,5,0.633,99.28181
Conley Run,6/15/21,High 3,10,0.591,92.72443
Conley Run,6/15/21,High 3,20,0.563,88.35285
Conley Run,6/15/21,High 3,40,0.479,75.2381
Conley Run,6/15/21,High 3,60,0.632,99.12568
Conley Run,6/15/21,Medium 1,5,0.816,127.8532
Conley Run,6/15/21,Medium 1,10,0.75,117.5488
Conley Run,6/15/21,Medium 1,20,0.734,115.0507
Conley Run,6/15/21,Medium 1,40,0.641,100.5308
Conley Run,6/15/21,Medium 1,60,0.584,91.63154
Conley Run,6/15/21,Medium 2,5,0.699,109.5863
Conley Run,6/15/21,Medium 2,10,0.757,118.6417
Conley Run,6/15/21,Medium 2,20,0.611,95.84699
Conley Run,6/15/21,Medium 2,40,0.516,81.01483
Conley Run,6/15/21,Medium 2,60,0.445,69.92974
Conley Run,6/15/21,Medium 3,5,0.657,103.0289
Conley Run,6/15/21,Medium 3,10,0.607,95.22248
Conley Run,6/15/21,Medium 3,20,0.543,85.23029
Conley Run,6/15/21,Medium 3,40,0.496,77.89227
Conley Run,6/15/21,Medium 3,60,0.434,68.21233
Conley Run,6/15/21,Low 1,5,0.815,127.6971
Conley Run,6/15/21,Low 1,10,0.844,132.2248
Conley Run,6/15/21,Low  1,20,0.736,115.363
Conley Run,6/15/21,Low 1,40,0.669,104.9024
Conley Run,6/15/21,Low 1,60,0.587,92.09992
Conley Run,6/15/21,Low 2,5,0.951,148.9305
Conley Run,6/15/21,Low 2,10,0.845,132.381
Conley Run,6/15/21,Low  2,20,0.644,100.9992
Conley Run,6/15/21,Low 2,40,0.739,115.8314
Conley Run,6/15/21,Low 2,60,0.672,105.3708
Conley Run,6/15/21,Low 3,5,0.69,108.1811
Conley Run,6/15/21,Low 3,10,0.639,100.2186
Conley Run,6/15/21,Low  3,20,0.594,93.19282
Conley Run,6/15/21,Low 3,40,0.492,77.26776
Conley Run,6/15/21,Low 3,60,0.45,70.71038
Conley Run,6/15/21,Control 1,5,0.674,105.6831
Conley Run,6/15/21,Control 1,10,0.652,102.2482
Conley Run,6/15/21,Control 1,20,0.613,96.15925
Conley Run,6/15/21,Control 1,40,0.57,89.44575
Conley Run,6/15/21,Control 1,60,0.533,83.66901
Conley Run,6/15/21,Control 2,5,0.632,99.12568
Conley Run,6/15/21,Control 2,10,0.618,96.93989
Conley Run,6/15/21,Control 2,20,0.569,89.28962
Conley Run,6/15/21,Control 2,40,0.506,79.45355
Conley Run,6/15/21,Control 2,60,0.466,73.20843
Conley Run,6/15/21,Control 3,5,0.605,94.91023
Conley Run,6/15/21,Control 3,10,0.556,87.25995
Conley Run,6/15/21,Control 3,20,0.508,79.76581
Conley Run,6/15/21,Control 3,40,0.46,72.27166
Conley Run,6/15/21,Control 3,60,0.428,67.27557
Conley Run,6/29/21,High1,5,0.81,127.7505
Conley Run,6/29/21,High 1,10,0.798,125.8301
Conley Run,6/29/21,High 1,20,0.721,113.508
Conley Run,6/29/21,High 1,40,0.628,98.62536
Conley Run,6/29/21,High 1,60,0.538,84.22282
Conley Run,6/29/21,High 2,5,0.847,133.6715
Conley Run,6/29/21,High 2,10,0.863,136.232
Conley Run,6/29/21,High 2,20,0.732,115.2683
Conley Run,6/29/21,High 2,40,0.607,95.26477
Conley Run,6/29/21,High 2,60,0.539,84.38285
Conley Run,6/29/21,High 3,5,1.051,166.3173
Conley Run,6/29/21,High 3,10,0.897,141.6729
Conley Run,6/29/21,High 3,20,0.813,128.2306
Conley Run,6/29/21,High 3,40,0.684,107.5869
Conley Run,6/29/21,High 3,60,0.594,93.1844
Conley Run,6/29/21,Medium 1,5,0.85,134.1516
Conley Run,6/29/21,Medium 1,10,0.83,130.951
Conley Run,6/29/21,Medium 1,20,0.777,122.4696
Conley Run,6/29/21,Medium 1,40,0.641,100.7057
Conley Run,6/29/21,Medium 1,60,0.576,90.30389
Conley Run,6/29/21,Medium 2,5,0.935,147.754
Conley Run,6/29/21,Medium 2,10,0.891,140.7128
Conley Run,6/29/21,Medium 2,20,0.81,127.7505
Conley Run,6/29/21,Medium 2,40,0.78,122.9496
Conley Run,6/29/21,Medium 2,60,0.699,109.9874
Conley Run,6/29/21,Medium 3,5,0.817,128.8707
Conley Run,6/29/21,Medium 3,10,0.773,121.8294
Conley Run,6/29/21,Medium 3,20,0.717,112.8679
