Location,Date,Label,Time,Absorbance,Phosphorus,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 1,60,0.4,62.90398126,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 2,5,0.633,99.28181109,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 2,10,0.734,115.0507416,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 2,20,0.69,108.1811085,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 2,40,0.618,96.93989071,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 2,60,0.419,65.87041374,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 3,5,0.633,99.28181109,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 3,10,0.591,92.72443404,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 3,20,0.563,88.35284934,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 3,40,0.479,75.23809524,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 3,60,0.632,99.12568306,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 1,5,0.816,127.8532397,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 1,10,0.75,117.54879,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 1,20,0.734,115.0507416,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 1,40,0.641,100.5308353,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 1,60,0.584,91.63153786,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 2,5,0.699,109.5862607,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 2,10,0.757,118.6416862,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 2,20,0.611,95.84699454,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 2,40,0.516,81.01483216,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 2,60,0.445,69.92974239,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 3,5,0.657,103.0288837,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 3,10,0.607,95.22248244,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 3,20,0.543,85.23028884,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 3,40,0.496,77.89227166,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 3,60,0.434,68.21233411,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low 1,5,0.815,127.6971116,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low 1,10,0.844,132.2248244,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low  1,20,0.736,115.3629977,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low 1,40,0.669,104.90242,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low 1,60,0.587,92.09992194,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low 2,5,0.951,148.930523,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low 2,10,0.845,132.3809524,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low  2,20,0.644,100.9992194,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low 2,40,0.739,115.8313817,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low 2,60,0.672,105.3708041,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low 3,5,0.69,108.1811085,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low 3,10,0.639,100.2185792,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low  3,20,0.594,93.19281811,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low 3,40,0.492,77.26775956,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low 3,60,0.45,70.71038251,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 1,5,0.674,105.6830601,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 1,10,0.652,102.2482436,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 1,20,0.613,96.15925059,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 1,40,0.57,89.44574551,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 1,60,0.533,83.66900859,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 2,5,0.632,99.12568306,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 2,10,0.618,96.93989071,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 2,20,0.569,89.28961749,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 2,40,0.506,79.45355191,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 2,60,0.466,73.20843091,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 3,5,0.605,94.91022639,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 3,10,0.556,87.25995316,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 3,20,0.508,79.76580796,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 3,40,0.46,72.27166276,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 3,60,0.428,67.27556596,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,High1,5,0.785,125.2145471,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,High 1,10,0.703,111.9369151,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,High 1,20,0.658,104.6504097,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,High 1,40,0.538,85.21972862,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,High 1,60,0.467,73.72324233,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,High 2,5,0.667,106.1077107,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,High 2,10,0.705,112.2607597,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,High 2,20,0.658,104.6504097,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,High 2,40,0.544,86.19126267,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,High 2,60,0.44,69.3513391,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,High 3,5,0.688,109.5080799,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,High 3,10,0.649,103.1931086,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,High 3,20,0.592,93.96353509,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,High 3,40,0.501,79.22860196,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,High 3,60,0.434,68.37980505,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Medium 1,5,0.752,119.8711098,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Medium 1,10,0.714,113.7180608,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Medium 1,20,0.654,104.0027203,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Medium 1,40,0.529,83.76242754,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Medium 1,60,0.485,76.63784449,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Medium 2,5,0.711,113.2322938,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Medium 2,10,0.694,110.479614,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Medium 2,20,0.673,107.0792448,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Medium 2,40,0.617,98.01159364,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Medium 2,60,0.592,93.96353509,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Medium 3,5,0.648,103.0311862,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Medium 3,10,0.622,98.82120535,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Medium 3,20,0.558,88.45817546,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Medium 3,40,0.52,82.30512646,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Medium 3,60,0.478,75.5043881,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Low 1,5,0.764,121.8141779,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Low 1,10,0.743,118.4138087,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Low 1,20,0.681,108.3746235,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Low 1,40,0.608,96.55429256,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Low 1,60,0.547,86.6770297,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Low 2,5,0.728,115.9849736,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Low 2,10,0.671,106.7554001,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Low  2,20,0.653,103.840798,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Low 2,40,0.584,92.66815635,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Low 2,60,0.537,85.05780628,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Low 3,5,0.795,126.8337705,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Low 3,10,0.739,117.7661194,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Low  3,20,0.687,109.3461576,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Low 3,40,0.602,95.58275851,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Low 3,60,0.566,89.7535542,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Control 1,5,0.699,111.2892257,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Control 1,10,0.716,114.0419055,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Control 1,20,0.688,109.5080799,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Control 1,40,0.636,101.0881181,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Control 1,60,0.586,92.99200104,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Control 2,5,0.765,121.9761003,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Control 2,10,0.771,122.9476343,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Control 2,20,0.727,115.8230513,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Control 2,40,0.692,110.1557693,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Control 2,60,0.669,106.4315554,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Control 3,5,0.909,145.2929175,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Control 3,10,0.939,150.1505878,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Control 3,20,0.842,134.4441206,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Control 3,40,0.84,134.1202759,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,Control 3,60,0.753,120.0330322,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,High1,5,0.81,127.7504841,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,High 1,10,0.798,125.8301461,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,High 1,20,0.721,113.5079774,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,High 1,40,0.628,98.62535806,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,High 1,60,0.538,84.22282322,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,High 2,5,0.847,133.6715262,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,High 2,10,0.863,136.2319768,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,High 2,20,0.732,115.2682872,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,High 2,40,0.607,95.2647666,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,High 2,60,0.539,84.38285138,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,High 3,5,1.051,166.3172718,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,High 3,10,0.897,141.6729344,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,High 3,20,0.813,128.2305686,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,High 3,40,0.684,107.5869353,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,High 3,60,0.594,93.18440045,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Medium 1,5,0.85,134.1516107,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Medium 1,10,0.83,130.9510474,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Medium 1,20,0.777,122.4695546,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Medium 1,40,0.641,100.7057242,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Medium 1,60,0.576,90.30389349,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Medium 2,5,0.935,147.7540047,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Medium 2,10,0.891,140.7127654,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Medium 2,20,0.81,127.7504841,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Medium 2,40,0.78,122.9496391,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Medium 2,60,0.699,109.9873578,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Medium 3,5,0.817,128.8706812,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Medium 3,10,0.773,121.829442,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Medium 3,20,0.717,112.8678647,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Medium 3,40,0.619,97.18510458,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Medium 3,60,0.557,87.26335835,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Low 1,5,0.758,119.4290195,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Low 1,10,0.71,111.7476676,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Low 1,20,0.691,108.7071325,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Low 1,40,0.59,92.54428779,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Low 1,60,0.533,83.42268239,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Low 2,5,0.756,119.1089632,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Low 2,10,0.706,111.1075549,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Low  2,20,0.678,106.6267663,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Low 2,40,0.529,82.78256973,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Low 2,60,0.554,86.78327386,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Low 3,5,0.822,129.6708221,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Low 3,10,0.805,126.9503433,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Low  3,20,0.742,116.8685689,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Low 3,40,0.592,92.86434412,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Low 3,60,0.57,89.3437245,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Control 1,5,0.821,129.5107939,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Control 1,10,0.748,117.8287379,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Control 1,20,0.663,104.2263438,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Control 1,40,0.608,95.42479476,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Control 1,60,0.559,87.58341468,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Control 2,5,0.886,139.9126246,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Control 2,10,0.805,126.9503433,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Control 2,20,0.751,118.3088224,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Control 2,40,0.674,105.9866537,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Control 2,60,0.645,101.3458369,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Control 3,5,0.659,103.5862312,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Control 3,10,0.644,101.1858087,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Control 3,20,0.604,94.7846821,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Control 3,40,0.548,85.82310487,,,,,,,,,,,,,,,,,
Conley Run,6/29/21,Control 3,60,0.518,81.02225992,,,,,,,,,,,,,,,,,
